G,Date,Time,Opponent,result,Tm,Opp,W,L,Streak,Notes
1,"Tue, Oct 25, 2016",10:30p ET,Golden State Warriors,W,129,100,1,0,W 1,
2,"Thu, Oct 27, 2016",10:30p ET,Sacramento Kings,W,102,94,2,0,W 2,
3,"Sat, Oct 29, 2016",8:00p ET,New Orleans Pelicans,W,98,79,3,0,W 3,
4,"Sun, Oct 30, 2016",6:00p ET,Miami Heat,W,106,99,4,0,W 4,
5,"Tue, Nov 1, 2016",8:30p ET,Utah Jazz,L,91,106,4,1,L 1,
6,"Fri, Nov 4, 2016",9:00p ET,Utah Jazz,W,100,86,5,1,W 1,
7,"Sat, Nov 5, 2016",8:30p ET,Los Angeles Clippers,L,92,116,5,2,L 1,
8,"Wed, Nov 9, 2016",9:30p ET,Houston Rockets,L,99,101,5,3,L 2,
9,"Fri, Nov 11, 2016",8:30p ET,Detroit Pistons,W,96,86,6,3,W 1,
10,"Sat, Nov 12, 2016",8:00p ET,Houston Rockets,W,106,100,7,3,W 2,
11,"Mon, Nov 14, 2016",8:30p ET,Miami Heat,W,94,90,8,3,W 3,
12,"Wed, Nov 16, 2016",10:30p ET,Sacramento Kings,W,110,105,9,3,W 4,
13,"Fri, Nov 18, 2016",10:30p ET,Los Angeles Lakers,W,116,107,10,3,W 5,
14,"Mon, Nov 21, 2016",8:30p ET,Dallas Mavericks,W,96,91,11,3,W 6,
15,"Wed, Nov 23, 2016",7:00p ET,Charlotte Hornets,W,119,114,12,3,W 7,
16,"Fri, Nov 25, 2016",1:00p ET,Boston Celtics,W,109,103,13,3,W 8,
17,"Sat, Nov 26, 2016",7:00p ET,Washington Wizards,W,112,100,14,3,W 9,
18,"Tue, Nov 29, 2016",8:30p ET,Orlando Magic,L,83,95,14,4,L 1,
19,"Wed, Nov 30, 2016",8:30p ET,Dallas Mavericks,W,94,87,15,4,W 1,
20,"Fri, Dec 2, 2016",8:30p ET,Washington Wizards,W,107,105,16,4,W 2,
21,"Mon, Dec 5, 2016",8:00p ET,Milwaukee Bucks,W,97,96,17,4,W 3,
22,"Tue, Dec 6, 2016",8:00p ET,Minnesota Timberwolves,W,105,91,18,4,W 4,
23,"Thu, Dec 8, 2016",9:30p ET,Chicago Bulls,L,91,95,18,5,L 1,
24,"Sat, Dec 10, 2016",8:30p ET,Brooklyn Nets,W,130,101,19,5,W 1,
25,"Wed, Dec 14, 2016",9:30p ET,Boston Celtics,W,108,101,20,5,W 2,
26,"Thu, Dec 15, 2016",9:00p ET,Phoenix Suns,W,107,92,21,5,W 3,
27,"Sun, Dec 18, 2016",7:00p ET,New Orleans Pelicans,W,113,100,22,5,W 4,
28,"Tue, Dec 20, 2016",8:00p ET,Houston Rockets,W,102,100,23,5,W 5,
29,"Thu, Dec 22, 2016",10:30p ET,Los Angeles Clippers,L,101,106,23,6,L 1,
30,"Fri, Dec 23, 2016",10:00p ET,Portland Trail Blazers,W,110,90,24,6,W 1,
31,"Sun, Dec 25, 2016",5:00p ET,Chicago Bulls,W,119,100,25,6,W 2,
32,"Wed, Dec 28, 2016",8:30p ET,Phoenix Suns,W,119,98,26,6,W 3,
33,"Fri, Dec 30, 2016",8:30p ET,Portland Trail Blazers,W,110,94,27,6,W 4,
34,"Sun, Jan 1, 2017",6:00p ET,Atlanta Hawks,L,112,114,27,7,L 1,
35,"Tue, Jan 3, 2017",8:30p ET,Toronto Raptors,W,110,82,28,7,W 1,
36,"Thu, Jan 5, 2017",9:00p ET,Denver Nuggets,W,127,99,29,7,W 2,
37,"Sat, Jan 7, 2017",8:30p ET,Charlotte Hornets,W,102,85,30,7,W 3,
38,"Tue, Jan 10, 2017",8:30p ET,Milwaukee Bucks,L,107,109,30,8,L 1,
39,"Thu, Jan 12, 2017",8:30p ET,Los Angeles Lakers,W,134,94,31,8,W 1,
40,"Sat, Jan 14, 2017",6:00p ET,Phoenix Suns,L,105,108,31,9,L 1,"at Mexico City, Mexico"
41,"Tue, Jan 17, 2017",8:30p ET,Minnesota Timberwolves,W,122,114,32,9,W 1,
42,"Thu, Jan 19, 2017",8:30p ET,Denver Nuggets,W,118,104,33,9,W 2,
43,"Sat, Jan 21, 2017",8:30p ET,Cleveland Cavaliers,W,118,115,34,9,W 3,
44,"Mon, Jan 23, 2017",7:30p ET,Brooklyn Nets,W,112,86,35,9,W 4,
45,"Tue, Jan 24, 2017",7:00p ET,Toronto Raptors,W,108,106,36,9,W 5,
46,"Fri, Jan 27, 2017",8:00p ET,New Orleans Pelicans,L,103,119,36,10,L 1,
47,"Sun, Jan 29, 2017",7:00p ET,Dallas Mavericks,L,101,105,36,11,L 2,
48,"Tue, Jan 31, 2017",8:30p ET,Oklahoma City Thunder,W,108,94,37,11,W 1,
49,"Thu, Feb 2, 2017",8:30p ET,Philadelphia 76ers,W,102,86,38,11,W 2,
50,"Sat, Feb 4, 2017",9:00p ET,Denver Nuggets,W,121,97,39,11,W 3,
51,"Mon, Feb 6, 2017",9:30p ET,Memphis Grizzlies,L,74,89,39,12,L 1,
52,"Wed, Feb 8, 2017",7:00p ET,Philadelphia 76ers,W,111,103,40,12,W 1,
53,"Fri, Feb 10, 2017",7:30p ET,Detroit Pistons,W,103,92,41,12,W 2,
54,"Sun, Feb 12, 2017",3:30p ET,New York Knicks,L,90,94,41,13,L 1,
55,"Mon, Feb 13, 2017",7:00p ET,Indiana Pacers,W,110,106,42,13,W 1,
56,"Wed, Feb 15, 2017",7:00p ET,Orlando Magic,W,107,79,43,13,W 2,
57,"Fri, Feb 24, 2017",10:30p ET,Los Angeles Clippers,W,105,97,44,13,W 3,
58,"Sun, Feb 26, 2017",3:30p ET,Los Angeles Lakers,W,119,98,45,13,W 4,
59,"Wed, Mar 1, 2017",8:30p ET,Indiana Pacers,W,100,99,46,13,W 5,
60,"Fri, Mar 3, 2017",9:30p ET,New Orleans Pelicans,W,101,98,47,13,W 6,
61,"Sat, Mar 4, 2017",9:00p ET,Minnesota Timberwolves,W,97,90,48,13,W 7,
62,"Mon, Mar 6, 2017",8:30p ET,Houston Rockets,W,112,110,49,13,W 8,
63,"Wed, Mar 8, 2017",8:30p ET,Sacramento Kings,W,114,104,50,13,W 9,
64,"Thu, Mar 9, 2017",8:00p ET,Oklahoma City Thunder,L,92,102,50,14,L 1,
65,"Sat, Mar 11, 2017",8:30p ET,Golden State Warriors,W,107,85,51,14,W 1,
66,"Mon, Mar 13, 2017",8:00p ET,Atlanta Hawks,W,107,99,52,14,W 2,
67,"Wed, Mar 15, 2017",8:00p ET,Portland Trail Blazers,L,106,110,52,15,L 1,
68,"Sat, Mar 18, 2017",9:00p ET,Memphis Grizzlies,L,96,104,52,16,L 2,
69,"Sun, Mar 19, 2017",7:00p ET,Sacramento Kings,W,118,102,53,16,W 1,
70,"Tue, Mar 21, 2017",9:30p ET,Minnesota Timberwolves,W,100,93,54,16,W 2,
71,"Thu, Mar 23, 2017",8:30p ET,Memphis Grizzlies,W,97,90,55,16,W 3,
72,"Sat, Mar 25, 2017",8:30p ET,New York Knicks,W,106,98,56,16,W 4,
73,"Mon, Mar 27, 2017",8:00p ET,Cleveland Cavaliers,W,103,74,57,16,W 5,
74,"Wed, Mar 29, 2017",9:30p ET,Golden State Warriors,L,98,110,57,17,L 1,
75,"Fri, Mar 31, 2017",8:00p ET,Oklahoma City Thunder,W,100,95,58,17,W 1,
76,"Sun, Apr 2, 2017",3:30p ET,Utah Jazz,W,109,103,59,17,W 2,
77,"Tue, Apr 4, 2017",8:30p ET,Memphis Grizzlies,W,95,89,60,17,W 3,
78,"Wed, Apr 5, 2017",8:30p ET,Los Angeles Lakers,L,95,102,60,18,L 1,
79,"Fri, Apr 7, 2017",8:30p ET,Dallas Mavericks,W,102,89,61,18,W 1,
80,"Sat, Apr 8, 2017",8:30p ET,Los Angeles Clippers,L,87,98,61,19,L 1,
81,"Mon, Apr 10, 2017",10:00p ET,Portland Trail Blazers,L,98,99,61,20,L 2,
82,"Wed, Apr 12, 2017",9:00p ET,Utah Jazz,L,97,101,61,21,L 3,